log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:13.995695,1,2,,30,32,64,31,4,168,66586,3,FDD,PCell,,441,0,-126.9375,-19.625,-96.25,279,0,-129.875,-23.0625,-96.25,93,0,-126.875,-21.625,-96.25
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:05.843888,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-126.5625,-21.875,-95.625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:05.845458,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.25,-17.25,-91.4375,393,0,-123.8125,-22.8125,-91.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:00.358258,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-119.875,-14.625,-94.5625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:00.438281,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.0,-22.0625,-92.9375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:01.158223,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-118.1875,-15.375,-90.9375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:43.582150,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-126.375,-23.125,-94.0,439,0,-125.75,-21.5,-94.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:43.582150,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-117.8125,-16.1875,-93.5625,393,0,-123.4375,-21.8125,-93.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:19.494578,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.9375,-22.5,-95.5625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:19.496469,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-119.5625,-18.125,-93.6875,393,0,-123.5625,-22.125,-93.625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:24.471682,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-114.4375,-14.6875,-91.9375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:03.358878,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-119.1875,-19.8125,-88.375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:03.558227,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-117.75,-14.6875,-90.5,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:03.638870,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.6875,-24.0,-95.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.309276,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-120.625,-22.3125,-87.8125,393,0,-116.75,-21.0625,-87.875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:18.341939,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-122.0625,-20.5625,-92.5,279,0,-123.875,-22.375,-92.5,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:39.262133,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-126.9375,-22.25,-94.6875,439,0,-124.9375,-21.0625,-94.8125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:39.262133,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.4375,-17.25,-93.4375,393,0,-121.75,-20.5,-93.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:39.704511,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-117.8125,-22.9375,-83.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:39.706635,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-114.4375,-17.0,-89.625,393,0,-117.5625,-20.125,-89.6875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:25.189564,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.8125,-17.4375,-91.0,393,0,-123.6875,-22.5625,-91.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:17.586746,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-121.6875,-23.125,-87.25,441,0,-121.0,-23.875,-87.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:10.900311,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-121.0,-22.25,-89.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:04.466780,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-119.5,-20.0,-91.125,118,0,-114.8125,-15.375,-91.125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:05.245477,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.3125,-17.5,-88.0625,393,0,-117.125,-21.1875,-88.0625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:00.158283,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-118.0,-16.6875,-88.4375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:51.062128,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-121.125,-16.875,-91.4375,393,0,-123.25,-19.25,-91.4375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:51.102159,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-124.5625,-22.1875,-93.375,439,0,-123.5,-20.375,-93.375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:01.758883,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-117.625,-13.5625,-93.9375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:01.838874,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.0625,-23.4375,-93.625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:31.387566,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-125.6875,-23.625,-93.0,279,0,-127.0625,-23.5625,-93.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:31.387566,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-114.8125,-12.4375,-94.5625,393,0,-121.8125,-19.4375,-94.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:31.875596,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.6875,-23.125,-93.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:31.877045,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-115.375,-11.125,-96.5,393,0,-121.25,-17.0,-96.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:33.093779,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-123.625,-19.375,-95.25,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:33.095359,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-115.375,-12.3125,-95.25,393,0,-121.375,-18.375,-95.1875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.174542,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-126.25,-23.9375,-93.3125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.175776,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-114.6875,-14.25,-92.6875,393,0,-121.0,-20.5625,-92.6875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.608119,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-123.25,-21.5625,-92.625,279,0,-125.0,-23.125,-92.5625,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.608119,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-114.625,-15.125,-91.6875,393,0,-119.875,-20.375,-91.6875,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:50.157679,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-110.75,-10.25,-92.6875,118,0,-119.75,-19.375,-92.625,393,0,-121.375,-20.9375,-92.6875
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:50.291406,1,2,,30,32,64,31,4,168,66586,3,FDD,PCell,,439,0,-120.0625,-21.0625,-89.9375,279,0,-121.6875,-22.6875,-90.0,441,0,-121.0,-22.0,-89.9375
