log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.919368,4,PCell,66586,349,4543,-115.6875,-14.8125,2,0,,441,-126.8125,-19.3125,279,-129.875,-22.25,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.919368,4,1_SCell,977,202,4543,-118.0,-16.75,2,0,,118,-122.875,-15.875,393,-127.0625,-19.5,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.689426,4,PCell,66586,349,2314,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.746374,4,PCell,66586,349,2370,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.756816,4,PCell,66586,349,2382,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.066285,4,PCell,66586,349,2690,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.078220,4,PCell,66586,349,2702,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.254216,4,PCell,66586,349,2878,-113.9375,-12.8125,0,0,,,,,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.266857,4,1_SCell,977,202,2891,-116.0625,-15.125,2,0,,118,-123.5,-16.3125,393,-123.4375,-21.3125,
68,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:49.323308,4,PCell,66586,349,2947,-114.8125,-14.8125,1,1,,441,-124.375,-23.125,,441,1313,513124905612
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:31.710273,4,PCell,66586,349,4374,-116.0,-13.1875,1,0,,441,-126.375,-21.875,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:31.804225,4,1_SCell,977,202,4468,-122.25,-15.0,1,0,,393,-125.0,-18.0,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:26.950047,4,PCell,66586,349,8414,-115.8125,-12.0,1,0,,441,-129.0625,-22.0,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:26.951842,4,1_SCell,977,202,8416,-118.5625,-16.25,2,0,,118,-123.3125,-19.1875,343,-129.5,-23.375,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:52.204624,4,PCell,66586,349,2949,-112.9375,-10.8125,1,0,,441,-126.5625,-23.5,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:23.670047,4,PCell,66586,349,5134,-115.4375,-11.5,1,0,,441,-130.75,-23.0,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:23.670047,4,1_SCell,977,202,5134,-118.1875,-16.25,1,0,,393,-123.25,-21.0,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:23.738157,4,PCell,66586,349,5203,-115.375,-12.0,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:23.818160,4,PCell,66586,349,5283,-115.3125,-12.1875,0,0,,,,,,,,
